,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
2010-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,6,0,0,0,0,0,0,0,0,1,0,4,3,0,1,0,0,0,0,0,2
2011-07,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-01,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-03,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-04,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-05,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-06,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2012-07,4,0,0,0,0,0,0,0,0,3,0,2,2,0,0,1,0,0,0,0,0
2012-08,32,2,1,0,0,4,1,2,2,5,0,5,6,0,0,5,0,0,0,0,3
2012-09,92,2,2,0,0,8,1,0,2,8,0,7,4,0,0,4,0,0,0,0,8
2012-10,65,2,0,0,0,5,1,0,2,9,0,9,4,0,0,3,0,0,0,0,8
2012-11,62,2,0,0,0,7,0,0,2,7,0,8,3,0,0,3,0,0,0,0,8
2012-12,53,2,0,0,0,7,0,0,2,7,0,5,3,0,0,3,0,0,0,0,8
2013-01,58,4,0,0,0,7,0,1,2,8,0,7,5,0,1,4,0,0,0,0,14
2013-02,58,4,0,0,0,5,0,0,2,5,0,4,2,0,0,3,0,0,0,0,13
2013-03,132,5,0,0,0,6,0,0,1,5,0,4,1,0,0,1,0,0,0,1,3
2013-04,105,4,0,0,0,6,0,0,1,3,0,3,1,0,0,1,0,0,0,1,3
2013-05,92,2,0,0,0,6,1,0,1,5,0,5,1,0,0,0,0,0,0,1,3
2013-06,88,2,0,0,0,6,1,0,1,5,0,5,1,0,0,0,0,0,0,1,3
2013-07,61,2,0,0,0,6,1,0,1,7,0,13,2,2,0,0,0,0,0,0,1
2013-08,50,2,0,1,0,6,1,1,1,8,0,88,41,21,6,8,2,2,2,0,7
2013-09,50,2,0,0,0,6,1,1,1,7,0,62,22,12,3,5,0,1,1,0,5
2013-10,48,2,0,0,0,7,1,1,1,8,0,52,21,11,2,4,0,1,1,0,5
2013-11,47,2,0,0,0,7,1,1,1,7,0,37,15,7,2,4,0,1,1,0,3
2013-12,57,2,0,0,0,8,1,3,2,9,0,67,31,9,4,9,0,2,1,1,5
2014-01,57,2,0,0,0,8,1,3,3,8,0,49,27,7,4,9,0,2,1,1,4
2014-02,54,2,0,0,0,9,1,3,2,8,0,45,27,6,4,9,0,2,1,1,4
2014-03,52,2,0,0,0,7,0,3,4,9,0,46,27,7,4,9,0,2,1,1,3
2014-04,35,2,1,0,0,7,0,3,3,8,0,32,15,5,2,6,0,1,0,1,1
2014-05,33,2,0,0,0,6,0,3,0,8,0,30,14,5,2,6,0,1,0,1,1
2014-06,34,3,1,0,0,5,0,5,0,10,0,31,14,4,2,6,0,1,0,1,1
2014-07,29,3,1,0,0,4,0,5,0,9,0,31,14,2,2,6,0,1,0,1,1
2014-08,25,3,1,0,0,1,0,6,0,5,0,39,14,5,2,5,0,1,0,1,1
2014-09,22,2,1,0,0,1,0,5,0,4,0,39,13,5,2,5,0,1,0,1,1
2014-10,24,2,1,0,0,1,0,4,0,4,0,26,13,2,2,4,0,1,0,1,1
2014-11,23,2,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
2014-12,6,2,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-01,1,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-02,2,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-03,2,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-04,2,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-05,2,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
