,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
2010-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,6,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1
2011-07,9,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-06,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2012-07,3,0,0,0,0,0,0,0,0,2,0,18,4,3,2,2,0,0,0,0,0
2012-08,33,2,1,0,0,6,1,2,2,2,0,3,4,0,0,4,0,0,0,0,3
2012-09,97,0,1,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,8
2012-10,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2012-11,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1
2012-12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2013-01,5,1,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,1
2013-02,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3
2013-03,98,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2013-04,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-05,9,0,0,0,0,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,28,0,0,0,0,0,0,0,0,2,0,9,2,2,0,0,0,0,0,0,0
2013-08,13,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
2013-09,3,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0
2013-10,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2013-11,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2013-12,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-01,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-02,2,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0
2014-03,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
2014-04,1,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06,3,1,1,0,0,2,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0
2014-07,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,7,0,0,0,0,4,0,2,2,1,0,19,3,3,1,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
