,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
2010-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1
2011-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
2012-08,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,0,1,2,1,3
2012-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2
2012-10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2
2012-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
2012-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
2013-01,2,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,1,0,3
2013-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6
2013-03,331,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
2013-04,331,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
2013-05,331,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2013-06,331,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2013-07,270,0,0,0,0,0,0,0,0,0,0,15,4,1,0,1,0,0,0,0,5
2013-08,4,0,0,0,0,1,0,0,0,0,0,92,39,21,7,6,5,4,0,1,4
2013-09,2,0,0,0,0,0,0,0,0,1,0,62,19,14,4,3,1,1,0,1,3
2013-10,2,0,0,0,0,0,0,0,0,1,0,51,19,11,4,2,1,1,0,1,3
2013-11,0,0,0,0,0,0,0,0,0,0,0,29,14,7,3,2,1,1,0,1,2
2013-12,10,0,0,1,0,5,1,1,2,7,0,64,30,15,6,4,2,1,0,2,4
2014-01,10,0,0,1,0,5,1,1,2,7,0,46,26,13,6,4,1,1,0,2,4
2014-02,10,0,0,1,0,5,1,1,2,7,0,43,26,13,6,4,1,1,0,2,3
2014-03,11,0,0,1,0,5,1,1,2,8,0,46,26,13,4,4,1,1,0,2,2
2014-04,2,0,0,1,0,3,1,1,2,6,0,30,16,8,3,2,1,0,0,1,0
2014-05,1,0,0,1,0,3,1,1,2,5,0,30,15,8,3,2,1,0,0,1,0
2014-06,1,0,0,1,0,1,1,1,2,3,0,32,17,10,4,2,2,0,0,1,0
2014-07,1,0,0,1,0,1,1,1,1,2,0,31,15,5,3,2,1,0,0,1,0
2014-08,1,0,0,1,0,1,1,0,1,4,0,37,16,6,3,2,1,0,0,1,0
2014-09,1,0,0,1,0,1,1,0,1,4,0,37,14,6,3,2,1,0,0,1,0
2014-10,0,0,0,1,0,1,1,0,1,2,0,24,12,5,2,2,1,0,0,1,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
