,bad_users_banned,good_users_banned
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,1,0
2011-04,1,0
2011-05,9,0
2011-06,17,1
2011-07,5,0
2011-08,3,0
2011-09,0,0
2011-10,1,0
2011-11,2,0
2011-12,0,0
2012-01,4,0
2012-02,2,0
2012-03,5,0
2012-04,5,1
2012-05,3,0
2012-06,9,0
2012-07,9,2
2012-08,14,2
2012-09,81,1
2012-10,32,0
2012-11,16,3
2012-12,22,1
2013-01,18,2
2013-02,16,0
2013-03,33,0
2013-04,8,1
2013-05,9,0
2013-06,12,1
2013-07,28,0
2013-08,67,1
2013-09,14,4
2013-10,14,0
2013-11,34,4
2013-12,84,0
2014-01,46,0
2014-02,44,0
2014-03,17,1
2014-04,14,0
2014-05,7,0
2014-06,9,0
2014-07,4,1
2014-08,21,1
2014-09,6,0
2014-10,5,1
2014-11,0,0
2014-12,7,0
2015-01,4,1
2015-02,4,0
2015-03,1,0
2015-04,3,0
2015-05,4,1
2015-06,0,0
2015-07,1,0
2015-08,3,0
2015-09,0,0
2015-10,0,0
2015-11,1,0
2015-12,0,0
2016-01,1,0
