,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01
6,3.5,3.5,3.5,3.4285714285714284,3.4285714285714284,3.0,3.0,3.4545454545454546,3.230769230769231,3.142857142857143,3.0,3.125,3.125,3.210526315789474,3.210526315789474,3.210526315789474,3.210526315789474,3.35,3.35,3.35,3.238095238095238,3.238095238095238,2.9565217391304346,2.9565217391304346,2.9166666666666665,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7333333333333334,2.75,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5277777777777777,2.5405405405405403,2.128205128205128,2.025,2.025,2.025,2.025,1.9285714285714286,1.9285714285714286,1.9285714285714286,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.6511627906976745,1.3863636363636365,1.3863636363636365,1.3863636363636365,1.3863636363636365,1.3863636363636365,1.3863636363636365
2,5.333333333333333,4.5,4.5,2.769230769230769,3.142857142857143,3.125,3.1481481481481484,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.138888888888889,3.138888888888889,3.138888888888889,3.138888888888889,3.189189189189189,3.189189189189189,3.189189189189189,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.1315789473684212,3.128205128205128,3.128205128205128,3.128205128205128,3.125,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335
1,4.125,3.75,3.6666666666666665,3.161290322580645,3.3947368421052633,2.890909090909091,2.775,2.9263157894736844,2.878787878787879,2.9320388349514563,3.0,2.980952380952381,2.9272727272727272,3.0526315789473686,3.1333333333333333,3.1666666666666665,3.216417910447761,3.347826086956522,3.3972602739726026,3.3666666666666667,3.4936708860759493,3.45679012345679,3.568862275449102,3.56140350877193,3.5872093023255816,3.5953757225433525,3.5953757225433525,3.5819209039548023,3.6033519553072626,3.587912087912088,3.5737704918032787,3.5869565217391304,3.5837837837837836,3.5828877005347595,3.5797872340425534,3.546875,3.546875,3.517948717948718,3.517948717948718,3.5247524752475248,3.5517241379310347,3.5096153846153846,3.533333333333333,3.5700934579439254,3.5555555555555554,3.5616438356164384,3.5616438356164384,3.5520361990950224,3.5675675675675675,3.5675675675675675,3.5675675675675675,3.569506726457399,3.569506726457399,3.5555555555555554,3.5442477876106193,3.5442477876106193,3.5442477876106193,3.5442477876106193,3.5442477876106193,3.5442477876106193,3.5442477876106193,3.5442477876106193,3.5442477876106193
15,1.0,1.0,1.3333333333333333,1.8,1.8,1.6666666666666667,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6363636363636365,1.6363636363636365,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385
4,2.5,2.5,2.1818181818181817,2.1818181818181817,2.1818181818181817,2.533333333333333,2.590909090909091,3.074074074074074,3.074074074074074,3.074074074074074,3.074074074074074,3.074074074074074,3.0357142857142856,2.838709677419355,2.838709677419355,2.909090909090909,2.909090909090909,3.0833333333333335,3.027027027027027,2.9,3.0454545454545454,3.1041666666666665,3.1041666666666665,3.1041666666666665,3.061224489795918,3.061224489795918,3.061224489795918,3.061224489795918,3.061224489795918,3.1,3.0784313725490198,3.0576923076923075,3.018867924528302,3.018867924528302,3.018867924528302,3.018867924528302,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111
3,6.5,6.4,6.4,5.857142857142857,5.75,5.222222222222222,5.0,4.5,4.5,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,4.230769230769231,3.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857,2.125,2.125,2.125,0.9444444444444444,0.9444444444444444,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.2857142857142857,-0.2857142857142857
13,2.0,1.8,1.8,1.8333333333333333,1.7142857142857142,1.7142857142857142,1.2916666666666667,1.4047619047619047,1.4047619047619047,1.3777777777777778,1.3777777777777778,1.3617021276595744,1.3617021276595744,1.3541666666666667,1.3541666666666667,1.34,1.4067796610169492,1.463768115942029,1.5384615384615385,1.6210526315789473,1.6634615384615385,1.6956521739130435,1.7165354330708662,1.7131782945736433,1.7121212121212122,1.7121212121212122,1.7067669172932332,1.6369863013698631,1.6666666666666667,1.6797385620915033,1.7309941520467835,1.735632183908046,1.7443181818181819,1.7443181818181819,1.7401129943502824,1.747191011235955,1.747191011235955,1.747191011235955,1.747191011235955,1.747191011235955,1.747191011235955,1.747191011235955,1.747191011235955,1.7430167597765363,1.7555555555555555,1.7555555555555555,1.7555555555555555,1.7555555555555555,1.7555555555555555,1.7513812154696133,1.7513812154696133,1.7595628415300546,1.7595628415300546,1.7595628415300546,1.7595628415300546,1.7826086956521738,1.7754010695187166,1.7765957446808511,1.7765957446808511,1.7765957446808511,1.7765957446808511,1.783068783068783,1.7853403141361257
16,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
10,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7,2.3333333333333335,2.4166666666666665,2.3333333333333335,2.6551724137931036,2.3958333333333335,2.5526315789473686,2.708029197080292,2.7875,2.9156626506024095,2.929411764705882,2.936046511627907,2.936046511627907,2.9421965317919074,2.955056179775281,2.977900552486188,2.9562841530054644,2.9510869565217392,2.9301075268817205,2.9523809523809526,2.9635416666666665,2.9489795918367347,2.915422885572139,2.9166666666666665,2.9121951219512194,2.8846153846153846,2.8666666666666667,2.8666666666666667,2.8666666666666667,2.8666666666666667,2.8666666666666667,2.8666666666666667,2.8666666666666667,2.881516587677725,2.881516587677725,2.881516587677725,2.8726415094339623,2.8726415094339623,2.8726415094339623,2.8726415094339623,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8511627906976744,2.8425925925925926,2.8425925925925926,2.8425925925925926,2.8425925925925926,2.8425925925925926,2.8425925925925926,2.8425925925925926,2.8425925925925926,2.8425925925925926
21,6.5,4.25,4.25,3.8333333333333335,3.8333333333333335,3.7142857142857144,3.7,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.391304347826087,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
20,3.5,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.2857142857142856,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667
17,5.5,4.0,3.2,3.2,3.2,2.857142857142857,2.857142857142857,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.1818181818181817,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.1666666666666665,2.8,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.5555555555555554,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316,2.473684210526316
