,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01
6,0.8476370035949756,0.7904213384237281,1.0,1.0,1.0,0.9259022984544286,0.9304536807708919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9951424734103497,0.9856474604339246,0.9843330859349477,0.9835999296935347,0.978991420615015,0.974323737763794,0.9723686809814414,0.957579583055071,0.8667123055527338,0.8116857111820815,0.8136484137574869,0.8166694152598426,0.8124474795999264,0.7800149726552092,0.775868132929946,0.7742272153267316,0.6729083611920668,0.669259473440824,0.6667244706480119,0.6674631580284709,0.6662034085944875,0.666412251672728,0.6668252604554176,0.6666771350927475,0.6667926475529218,0.5478084313176604,0.5478719164775475,0.5478398950747626,0.5477910990276894,0.5554630380679954,0.5559959048150994
2,0.16200661736491448,0.2132144720292226,0.3637347048214542,0.9438357598034103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999356628580988,0.9974909897840504,0.9976573365302754,0.9964587220863196,0.9963716895243719,0.9962423346126751,0.9957765979074451,0.9957067351571083,0.9958095427862023,0.9957195053112434,0.9949676599119801,0.9952277907242192
5,0.44381542226386134,0.6448582666583104,0.8869954072925541,0.8419467187292676,0.8362687416879115,0.9404582428641874,0.9457768281154514,0.79916797660062,0.8397449778107319,0.8570177936769968,0.8817234887622121,0.9014286915445431,0.8801237142200553,0.8704669697348795,0.8593846960246118,0.8594135521770617,0.8620784422687358,0.8362478486625685,0.818693851090094,0.8139438861937083,0.8208005680796604,0.8272524797207365,0.8044940844070588,0.8062881282398598,0.7791157171118729,0.7866661738383383,0.7851009427262939,0.7783487773020785,0.742154472409605,0.7371495806941785,0.7401660129614632,0.7405650539606435,0.7368072749392475,0.7432586998957906,0.7455083162260819,0.748547736479782,0.7504509053223382,0.7531828740409604,0.7535111224759902,0.7549561964576639,0.7494776967598024,0.7549133711903971,0.7556557484770458,0.7576769643990963,0.7564138187245723,0.7527795058577699,0.7310841056655456,0.7311428570274172,0.7316794870733885,0.730914010577797,0.7302032979853118,0.7298149845746492,0.7292524471634007,0.7296299712166787,0.729387133796863,0.7294260332032415,0.7295495099101951,0.7291447427734411,0.7289127767812879,0.7292052266432005,0.7291343411404294,0.7285203427158814,0.7287784176236215
1,0.524596415052562,0.7568228794836921,0.9268567187971835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.2004530921114641,0.3928261121407676,0.9198021376183781,0.7101213300234386,0.7631013499192623,0.8047376134543983,1.0,1.0,1.0,0.9401557971097378,0.9412972531013086,0.9429268850633022,0.9414158355412979,0.9784041924108262,0.9804523996824865,0.9764579071706703,0.9758004149688964,0.9588937251831257,0.9572393518151987,0.955389188939712,0.9569145896514021,0.9375666158917085,0.9284780437700882,0.930083192389907,0.9476302094815212,0.9510052049841268,0.9472571893443315,0.9184605278387455,0.8781834487985466,0.8709593886253401,0.8681149109528249,0.8682047664346629,0.864947545221722,0.8610122072412655,0.8599348262378497,0.8596100609874978,0.8589278975230452,0.8552971995996477,0.8556990743859204,0.8523339422758829,0.84740109661921,0.8100410379716995,0.8104527547773726,0.8101966256489006,0.8067503032465115,0.8051996726780056,0.8021569791500138,0.8218036694811114,0.8499214813618234,0.8594935672488427,0.8644223181386139,0.8621337413162349,0.8524969599114876,0.8532945304826698,0.8574056225126074,0.857296159948058,0.8575427363284694,0.8341464724597901,0.8333828694284425,0.8335748034379404,0.833311392552842,0.8217637084481536,0.8220916498389174
4,0.19125593886513695,0.16327269324445395,0.3886249863481286,0.7221374657386268,0.674938864791404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.8028989895558376,0.8502045150682026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42109642764956395,0.4294551958271933,0.4207343109919853,-0.04248055601392391,-0.05466908547453718,-0.1935122989202014,-0.20521776344576798,-0.2196052140177216,-0.21954503316499469,-0.212108636678953,-0.2209598901330204,-0.2249288783779065,-0.22616241659023406,-0.22460115621241,-0.2306415992171383,-0.2292967353039895,-0.2167702437260112,-0.21599317800255421,-0.23394156557058116,-0.2335266187039819,-0.23592172353142069,-0.23795116720009485,-0.2353088029491599,-0.23536063271379942,-0.2325858520417766,-0.37296847319343684,-0.3676745337176328
13,0.6492736064389983,0.7989657852047994,0.9662494221019406,0.952935927478297,0.9007967225798563,0.976121229534131,0.9209779023122003,0.8214227977269808,0.8171991872246126,0.7881643272938444,0.7893580517437613,0.7933838946062737,0.7922956984421666,0.7988307574012551,0.7977881656071396,0.7810146925291669,0.8151882533017003,0.8706843038202108,0.911740398736776,0.9529762845892742,0.9929384497139441,1.0,1.0,0.9893145235900487,0.9876946726434336,0.9849462983739087,0.9725789286370995,0.94449096940106,0.9545836208109115,0.9475993397085091,0.9380282805167743,0.9395013908334653,0.9389811870730852,0.9182764112161975,0.9134555849241338,0.9146867926674095,0.9111876991875906,0.9054185608846822,0.9048402205073689,0.9013158535589776,0.8995187689271718,0.8962711698681021,0.8961818960079673,0.8922659989596435,0.8939767230434011,0.8914943797874404,0.8875517217363224,0.8856391973886881,0.8881422739883714,0.8832345043572225,0.8819936210157711,0.8730532854844728,0.8718945080958921,0.8726058356823839,0.8725338348728903,0.885522002138938,0.883937945165289,0.883237593479316,0.8829545647586567,0.8831983507213655,0.8829934846043338,0.8853144501260033,0.8898550057934196
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.5636929185930909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
